"Domain","Available","Premium","Price"
"test.ac","taken","",""
"test.academy","taken","",""
"test.accountant","taken","",""
"test.accountants","taken","",""
"test.actor","taken","",""
"test.adult","taken","",""
"test.ae.org","available","","€19.35"
"test.africa","available","","€5.79"
"test.agency","taken","",""
"test.ai","taken","",""
"test.airforce","taken","",""
"test.apartments","taken","",""
"test.app","taken","",""
"test.army","taken","",""
"test.art","taken","",""
"test.asia","available","premium","€4,842.62"
"test.associates","taken","",""
"test.attorney","taken","",""
"test.auction","taken","",""
"test.audio","taken","",""
"test.auto","taken","",""
"test.autos","taken","",""
"test.baby","taken","",""
"test.band","taken","",""
"test.bar","taken","",""
"test.bargains","taken","",""
"test.beauty","taken","",""
"test.beer","taken","",""
"test.berlin","available","","€76.49"
"test.best","taken","",""
"test.bid","taken","",""
"test.bike","available","premium","€96,852.30"
"test.bingo","taken","",""
"test.bio","taken","",""
"test.biz","available","premium","€44,024.21"
"test.black","taken","",""
"test.blackfriday","taken","",""
"test.blog","taken","",""
"test.blue","taken","",""
"test.boats","taken","",""
"test.bond","taken","",""
"test.boo","taken","",""
"test.boston","taken","",""
"test.boutique","taken","",""
"test.br.com","taken","",""
"test.build","taken","",""
"test.builders","taken","",""
"test.business","taken","",""
"test.buzz","available","premium","€460.05"
"test.bz","taken","",""
"test.ca","taken","",""
"test.cab","taken","",""
"test.cafe","taken","",""
"test.cam","taken","",""
"test.camera","taken","",""
"test.camp","taken","",""
"test.capital","taken","",""
"test.car","taken","",""
"test.cards","taken","",""
"test.care","available","premium","€9,297.82"
"test.careers","taken","",""
"test.cars","taken","",""
"test.casa","taken","",""
"test.cash","available","premium","€23,244.55"
"test.casino","taken","",""
"test.catering","taken","",""
"test.cc","available","premium","€9,684.26"
"test.center","taken","",""
"test.ceo","taken","",""
"test.cfd","taken","",""
"test.ch","taken","",""
"test.chat","taken","",""
"test.cheap","taken","",""
"test.christmas","taken","",""
"test.church","taken","",""
"test.city","available","premium","€11,622.28"
"test.claims","taken","",""
"test.cleaning","taken","",""
"test.click","taken","",""
"test.clinic","taken","",""
"test.clothing","taken","",""
"test.cloud","taken","",""
"test.club","taken","",""
"test.cm","taken","",""
"test.cn.com","taken","",""
"test.co","taken","",""
"test.co.bz","available","","€44.53"
"test.co.com","taken","",""
"test.co.in","taken","",""
